016	BANCO DE CRÉDITO E INVERSIONES
8110000	 0000001347356,00	
8111000	 0000000000000,00	
8113000	 0000000838743,00	
8114000	 0000000196104,00	
8115000	 0000000312509,00	
8130000	 0000000101893,00	
8131000	 0000000000000,00	
8133000	 0000000033721,00	
8134000	 0000000003528,00	
8135000	 0000000064644,00	
8140000	 0000000026187,00	
8141000	 0000000000000,00	
8143000	 0000000011173,00	
8144000	 0000000001912,00	
8145000	 0000000013102,00	
8310000	 0000007852188,00	
8311000	 0000000157370,00	
8312000	 0000000005094,00	
8314000	 0000000315456,00	
8315000	 0000001384458,00	
8315100	 0000001008343,00	
8315200	 0000000376115,00	
8317000	 0000005502359,00	
8318000	 0000000487451,00	
8318100	 0000000016193,00	
8318900	 0000000471258,00	
8319000	 0000000000000,00	
8510000	 0000014341142,00	
8511000	 0000000397244,00	
8513000	 0000013943898,00	
8520000	 0000000568696,00	
8521000	 0000000000000,00	
8523000	 0000000568696,00	
8530000	 0000000385223,00	
8531000	 0000000000000,00	
8533000	 0000000385223,00	
8540000	 0000012684293,00	
8543000	 0000003299237,00	
8544000	 0000006739537,00	
8545000	 0000002645519,00	
8560000	 0000000863786,00	
8563000	 0000000355173,00	
8564000	 0000000196104,00	
8565000	 0000000312509,00	
8610000	 0000003676607,00	
8620000	 0000000111311,00	
8630000	 0000000003989,00	
8640000	 0000004047361,00	
8660000	 0000000012920,00	
