039	ITAÚ CORPBANCA
8110000	 0000001302653,00	
8111000	 0000000000000,00	
8113000	 0000000974990,00	
8114000	 0000000196795,00	
8115000	 0000000130868,00	
8130000	 0000000139723,00	
8131000	 0000000000000,00	
8133000	 0000000053130,00	
8134000	 0000000003597,00	
8135000	 0000000082996,00	
8140000	 0000000021829,00	
8141000	 0000000000000,00	
8143000	 0000000009099,00	
8144000	 0000000001475,00	
8145000	 0000000011255,00	
8310000	 0000005442903,00	
8311000	 0000000339925,00	
8312000	 0000000000000,00	
8314000	 0000000131613,00	
8315000	 0000001174457,00	
8315100	 0000000863346,00	
8315200	 0000000311111,00	
8317000	 0000002405071,00	
8318000	 0000001391837,00	
8318100	 0000001066396,00	
8318900	 0000000325441,00	
8319000	 0000000000000,00	
8510000	 0000011000317,00	
8511000	 0000000074555,00	
8513000	 0000010925762,00	
8520000	 0000000638235,00	
8521000	 0000000000000,00	
8523000	 0000000638235,00	
8530000	 0000000492383,00	
8531000	 0000000000000,00	
8533000	 0000000492383,00	
8540000	 0000008575958,00	
8543000	 0000001922529,00	
8544000	 0000004168863,00	
8545000	 0000002484566,00	
8560000	 0000000538579,00	
8563000	 0000000210916,00	
8564000	 0000000196795,00	
8565000	 0000000130868,00	
8610000	 0000002201034,00	
8620000	 0000000119525,00	
8630000	 0000000002743,00	
8640000	 0000003109831,00	
8660000	 0000000009770,00	
