049	BANCO SECURITY
8110000	 0000000234247,00	
8111000	 0000000000000,00	
8113000	 0000000209994,00	
8114000	 0000000007675,00	
8115000	 0000000016578,00	
8130000	 0000000018416,00	
8131000	 0000000000000,00	
8133000	 0000000009004,00	
8134000	 0000000000431,00	
8135000	 0000000008981,00	
8140000	 0000000002975,00	
8141000	 0000000000000,00	
8143000	 0000000001358,00	
8144000	 0000000000085,00	
8145000	 0000000001532,00	
8310000	 0000001144562,00	
8311000	 0000000016283,00	
8312000	 0000000000000,00	
8314000	 0000000027063,00	
8315000	 0000000214178,00	
8315100	 0000000194867,00	
8315200	 0000000019311,00	
8317000	 0000000887038,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000002801758,00	
8511000	 0000000005173,00	
8513000	 0000002796585,00	
8520000	 0000000737567,00	
8521000	 0000000000000,00	
8523000	 0000000737567,00	
8530000	 0000000140200,00	
8531000	 0000000000000,00	
8533000	 0000000140200,00	
8540000	 0000001349652,00	
8543000	 0000000287714,00	
8544000	 0000000609066,00	
8545000	 0000000452872,00	
8560000	 0000000041650,00	
8563000	 0000000017397,00	
8564000	 0000000007675,00	
8565000	 0000000016578,00	
8610000	 0000000422124,00	
8620000	 0000000014758,00	
8630000	 0000000005306,00	
8640000	 0000000702121,00	
8660000	 0000000000253,00	
