053	BANCO RIPLEY
8110000	 0000000105730,00	
8111000	 0000000000000,00	
8113000	 0000000000358,00	
8114000	 0000000001161,00	
8115000	 0000000104211,00	
8130000	 0000000047414,00	
8131000	 0000000000000,00	
8133000	 0000000000053,00	
8134000	 0000000000074,00	
8135000	 0000000047287,00	
8140000	 0000000013998,00	
8141000	 0000000000000,00	
8143000	 0000000000018,00	
8144000	 0000000000289,00	
8145000	 0000000013691,00	
8310000	 0000001430980,00	
8311000	 0000000000000,00	
8312000	 0000000000000,00	
8314000	 0000000000000,00	
8315000	 0000000000000,00	
8315100	 0000000000000,00	
8315200	 0000000000000,00	
8317000	 0000001430980,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000000000000,00	
8511000	 0000000000000,00	
8513000	 0000000000000,00	
8520000	 0000000000000,00	
8521000	 0000000000000,00	
8523000	 0000000000000,00	
8530000	 0000000000000,00	
8531000	 0000000000000,00	
8533000	 0000000000000,00	
8540000	 0000000744833,00	
8543000	 0000000001654,00	
8544000	 0000000030352,00	
8545000	 0000000712827,00	
8560000	 0000000105729,00	
8563000	 0000000000357,00	
8564000	 0000000001161,00	
8565000	 0000000104211,00	
8610000	 0000000000000,00	
8620000	 0000000000000,00	
8630000	 0000000000000,00	
8640000	 0000001427813,00	
8660000	 0000000003167,00	
