055	BANCO CONSORCIO
8110000	 0000000047989,00	
8111000	 0000000000000,00	
8113000	 0000000045964,00	
8114000	 0000000000610,00	
8115000	 0000000001415,00	
8130000	 0000000002226,00	
8131000	 0000000000000,00	
8133000	 0000000001079,00	
8134000	 0000000000029,00	
8135000	 0000000001118,00	
8140000	 0000000000336,00	
8141000	 0000000000000,00	
8143000	 0000000000004,00	
8144000	 0000000000005,00	
8145000	 0000000000327,00	
8310000	 0000000069866,00	
8311000	 0000000000000,00	
8312000	 0000000006435,00	
8314000	 0000000000000,00	
8315000	 0000000051610,00	
8315100	 0000000049395,00	
8315200	 0000000002215,00	
8317000	 0000000011821,00	
8318000	 0000000000000,00	
8318100	 0000000000000,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000001884615,00	
8511000	 0000000000000,00	
8513000	 0000001884615,00	
8520000	 0000000163143,00	
8521000	 0000000000000,00	
8523000	 0000000163143,00	
8530000	 0000000027626,00	
8531000	 0000000000000,00	
8533000	 0000000027626,00	
8540000	 0000000198148,00	
8543000	 0000000007210,00	
8544000	 0000000117191,00	
8545000	 0000000073747,00	
8560000	 0000000002033,00	
8563000	 0000000000009,00	
8564000	 0000000000610,00	
8565000	 0000000001414,00	
8610000	 0000000068072,00	
8620000	 0000000000559,00	
8630000	 0000000000093,00	
8640000	 0000000001141,00	
8660000	 0000000000001,00	
