001	BANCO DE CHILE
8110000	 0000000750900,00	
8111000	 0000000000000,00	
8113000	 0000000329432,00	
8114000	 0000000160682,00	
8115000	 0000000260786,00	
8130000	 0000000171280,00	
8131000	 0000000000000,00	
8133000	 0000000033917,00	
8134000	 0000000003680,00	
8135000	 0000000133683,00	
8140000	 0000000031149,00	
8141000	 0000000000000,00	
8143000	 0000000007690,00	
8144000	 0000000002353,00	
8145000	 0000000021106,00	
8310000	 0000010436746,00	
8311000	 0000000361767,00	
8312000	 0000000070542,00	
8314000	 0000000363273,00	
8315000	 0000002191165,00	
8315100	 0000001855751,00	
8315200	 0000000335414,00	
8317000	 0000007388660,00	
8318000	 0000000061339,00	
8318100	 0000000000000,00	
8318900	 0000000061339,00	
8319000	 0000000000000,00	
8510000	 0000011251559,00	
8511000	 0000000297727,00	
8513000	 0000010953832,00	
8520000	 0000000080896,00	
8521000	 0000000000000,00	
8523000	 0000000080896,00	
8530000	 0000000107645,00	
8531000	 0000000000000,00	
8533000	 0000000107645,00	
8540000	 0000014759503,00	
8543000	 0000003323342,00	
8544000	 0000007531660,00	
8545000	 0000003904501,00	
8560000	 0000000638344,00	
8563000	 0000000216876,00	
8564000	 0000000160682,00	
8565000	 0000000260786,00	
8610000	 0000004271076,00	
8620000	 0000000009544,00	
8630000	 0000000001071,00	
8640000	 0000006143396,00	
8660000	 0000000011659,00	
