009	BANCO INTERNACIONAL
8110000	 0000000134464,00	
8111000	 0000000000000,00	
8113000	 0000000130379,00	
8114000	 0000000003332,00	
8115000	 0000000000753,00	
8130000	 0000000002561,00	
8131000	 0000000000000,00	
8133000	 0000000002085,00	
8134000	 0000000000134,00	
8135000	 0000000000342,00	
8140000	 0000000000833,00	
8141000	 0000000000000,00	
8143000	 0000000000681,00	
8144000	 0000000000050,00	
8145000	 0000000000102,00	
8310000	 0000000264197,00	
8311000	 0000000000792,00	
8312000	 0000000000000,00	
8314000	 0000000006542,00	
8315000	 0000000065149,00	
8315100	 0000000063068,00	
8315200	 0000000002081,00	
8317000	 0000000059585,00	
8318000	 0000000132129,00	
8318100	 0000000132129,00	
8318900	 0000000000000,00	
8319000	 0000000000000,00	
8510000	 0000001146133,00	
8511000	 0000000000000,00	
8513000	 0000001146133,00	
8520000	 0000000095567,00	
8521000	 0000000000000,00	
8523000	 0000000095567,00	
8530000	 0000000092254,00	
8531000	 0000000000000,00	
8533000	 0000000092254,00	
8540000	 0000000071716,00	
8543000	 0000000041383,00	
8544000	 0000000024930,00	
8545000	 0000000005403,00	
8560000	 0000000005156,00	
8563000	 0000000001071,00	
8564000	 0000000003332,00	
8565000	 0000000000753,00	
8610000	 0000000117117,00	
8620000	 0000000006537,00	
8630000	 0000000000940,00	
8640000	 0000000139538,00	
8660000	 0000000000065,00	
