012	BANCO DEL ESTADO DE CHILE
8110000	 0000001758788,00	
8111000	 0000000000000,00	
8113000	 0000000476569,00	
8114000	 0000001072825,00	
8115000	 0000000209394,00	
8130000	 0000000139576,00	
8131000	 0000000000000,00	
8133000	 0000000056997,00	
8134000	 0000000008129,00	
8135000	 0000000074450,00	
8140000	 0000000039446,00	
8141000	 0000000000000,00	
8143000	 0000000014493,00	
8144000	 0000000010767,00	
8145000	 0000000014186,00	
8310000	 0000004946455,00	
8311000	 0000000646043,00	
8312000	 0000000104499,00	
8314000	 0000000071922,00	
8315000	 0000001419896,00	
8315100	 0000001201760,00	
8315200	 0000000218136,00	
8317000	 0000001517873,00	
8318000	 0000001186222,00	
8318100	 0000000785271,00	
8318900	 0000000400951,00	
8319000	 0000000000000,00	
8510000	 0000008603104,00	
8511000	 0000000501739,00	
8513000	 0000008101365,00	
8520000	 0000000453252,00	
8521000	 0000000000000,00	
8523000	 0000000453252,00	
8530000	 0000000128138,00	
8531000	 0000000000000,00	
8533000	 0000000128138,00	
8540000	 0000012839672,00	
8543000	 0000002910907,00	
8544000	 0000008193973,00	
8545000	 0000001734792,00	
8560000	 0000001585769,00	
8563000	 0000000303550,00	
8564000	 0000001072825,00	
8565000	 0000000209394,00	
8610000	 0000003039870,00	
8620000	 0000000072682,00	
8630000	 0000000001541,00	
8640000	 0000001817069,00	
8660000	 0000000015293,00	
