014	SCOTIABANK CHILE
8110000	 0000000557589,00	
8111000	 0000000000000,00	
8113000	 0000000234256,00	
8114000	 0000000198854,00	
8115000	 0000000124479,00	
8130000	 0000000104098,00	
8131000	 0000000000000,00	
8133000	 0000000019354,00	
8134000	 0000000001519,00	
8135000	 0000000083225,00	
8140000	 0000000027362,00	
8141000	 0000000000000,00	
8143000	 0000000005525,00	
8144000	 0000000002056,00	
8145000	 0000000019781,00	
8310000	 0000003896570,00	
8311000	 0000000083107,00	
8312000	 0000000002930,00	
8314000	 0000000057914,00	
8315000	 0000000322321,00	
8315100	 0000000178584,00	
8315200	 0000000143737,00	
8317000	 0000003087822,00	
8318000	 0000000342476,00	
8318100	 0000000337828,00	
8318900	 0000000004648,00	
8319000	 0000000000000,00	
8510000	 0000004083957,00	
8511000	 0000000002770,00	
8513000	 0000004081187,00	
8520000	 0000000108098,00	
8521000	 0000000000000,00	
8523000	 0000000108098,00	
8530000	 0000000057308,00	
8531000	 0000000000000,00	
8533000	 0000000057308,00	
8540000	 0000006643639,00	
8543000	 0000001091316,00	
8544000	 0000003750073,00	
8545000	 0000001802250,00	
8560000	 0000000439291,00	
8563000	 0000000115958,00	
8564000	 0000000198854,00	
8565000	 0000000124479,00	
8610000	 0000000590513,00	
8620000	 0000000002015,00	
8630000	 0000000001685,00	
8640000	 0000003291354,00	
8660000	 0000000011003,00	
