028	BANCO BICE
8110000	 0000000075788,00	
8111000	 0000000000000,00	
8113000	 0000000067986,00	
8114000	 0000000005163,00	
8115000	 0000000002639,00	
8130000	 0000000002497,00	
8131000	 0000000000000,00	
8133000	 0000000001203,00	
8134000	 0000000000014,00	
8135000	 0000000001280,00	
8140000	 0000000000691,00	
8141000	 0000000000000,00	
8143000	 0000000000175,00	
8144000	 0000000000137,00	
8145000	 0000000000379,00	
8310000	 0000001424151,00	
8311000	 0000000014798,00	
8312000	 0000000016604,00	
8314000	 0000000049256,00	
8315000	 0000000334983,00	
8315100	 0000000312222,00	
8315200	 0000000022761,00	
8317000	 0000000839978,00	
8318000	 0000000162205,00	
8318100	 0000000000000,00	
8318900	 0000000162205,00	
8319000	 0000000006327,00	
8510000	 0000003382544,00	
8511000	 0000000000000,00	
8513000	 0000003382544,00	
8520000	 0000000234457,00	
8521000	 0000000000000,00	
8523000	 0000000234457,00	
8530000	 0000000034964,00	
8531000	 0000000000000,00	
8533000	 0000000034964,00	
8540000	 0000001422786,00	
8543000	 0000000330526,00	
8544000	 0000000949920,00	
8545000	 0000000142340,00	
8560000	 0000000016176,00	
8563000	 0000000008374,00	
8564000	 0000000005163,00	
8565000	 0000000002639,00	
8610000	 0000001073709,00	
8620000	 0000000026660,00	
8630000	 0000000000394,00	
8640000	 0000000322905,00	
8660000	 0000000000483,00	
