037	BANCO SANTANDER-CHILE
8110000	 0000001795619,00	
8111000	 0000000000000,00	
8113000	 0000001028157,00	
8114000	 0000000475564,00	
8115000	 0000000291898,00	
8130000	 0000000242939,00	
8131000	 0000000000000,00	
8133000	 0000000074565,00	
8134000	 0000000013550,00	
8135000	 0000000154824,00	
8140000	 0000000053009,00	
8141000	 0000000000000,00	
8143000	 0000000018173,00	
8144000	 0000000011499,00	
8145000	 0000000023337,00	
8310000	 0000011235753,00	
8311000	 0000000127555,00	
8312000	 0000000032842,00	
8314000	 0000000226887,00	
8315000	 0000001865862,00	
8315100	 0000001220062,00	
8315200	 0000000645800,00	
8317000	 0000008692051,00	
8318000	 0000000290556,00	
8318100	 0000000015297,00	
8318900	 0000000275259,00	
8319000	 0000000000000,00	
8510000	 0000010005990,00	
8511000	 0000000017196,00	
8513000	 0000009988794,00	
8520000	 0000000686093,00	
8521000	 0000000000000,00	
8523000	 0000000686093,00	
8530000	 0000000437669,00	
8531000	 0000000000000,00	
8533000	 0000000437669,00	
8540000	 0000017063395,00	
8543000	 0000003572323,00	
8544000	 0000009132424,00	
8545000	 0000004358648,00	
8560000	 0000001195072,00	
8563000	 0000000427610,00	
8564000	 0000000475564,00	
8565000	 0000000291898,00	
8610000	 0000004304172,00	
8620000	 0000000065982,00	
8630000	 0000000011339,00	
8640000	 0000006842623,00	
8660000	 0000000011637,00	
