504	BANCO BILBAO VIZCAYA ARGENTARIA CHILE
8110000	 0000000310361,00	
8111000	 0000000000000,00	
8113000	 0000000137754,00	
8114000	 0000000118652,00	
8115000	 0000000053955,00	
8130000	 0000000051342,00	
8131000	 0000000000000,00	
8133000	 0000000008388,00	
8134000	 0000000002837,00	
8135000	 0000000040117,00	
8140000	 0000000014876,00	
8141000	 0000000000000,00	
8143000	 0000000002912,00	
8144000	 0000000001563,00	
8145000	 0000000010401,00	
8310000	 0000002885238,00	
8311000	 0000000087086,00	
8312000	 0000000014310,00	
8314000	 0000000080114,00	
8315000	 0000000835713,00	
8315100	 0000000728053,00	
8315200	 0000000107660,00	
8317000	 0000001763444,00	
8318000	 0000000104571,00	
8318100	 0000000000000,00	
8318900	 0000000104571,00	
8319000	 0000000000000,00	
8510000	 0000004168194,00	
8511000	 0000000018728,00	
8513000	 0000004149466,00	
8520000	 0000000063497,00	
8521000	 0000000000000,00	
8523000	 0000000063497,00	
8530000	 0000000081096,00	
8531000	 0000000000000,00	
8533000	 0000000081096,00	
8540000	 0000005448208,00	
8543000	 0000000506576,00	
8544000	 0000003792789,00	
8545000	 0000001148843,00	
8560000	 0000000207503,00	
8563000	 0000000034896,00	
8564000	 0000000118652,00	
8565000	 0000000053955,00	
8610000	 0000001722855,00	
8620000	 0000000002596,00	
8630000	 0000000001380,00	
8640000	 0000001152737,00	
8660000	 0000000005670,00	
