999	SISTEMA FINANCIERO
8110000	 0000008501220,00	
8111000	 0000000000000,00	
8113000	 0000004454758,00	
8114000	 0000002475384,00	
8115000	 0000001571078,00	
8130000	 0000001136140,00	
8131000	 0000000000000,00	
8133000	 0000000318139,00	
8134000	 0000000039074,00	
8135000	 0000000778927,00	
8140000	 0000000252667,00	
8141000	 0000000000000,00	
8143000	 0000000074866,00	
8144000	 0000000033377,00	
8145000	 0000000144424,00	
8310000	 0000051329778,00	
8311000	 0000001843169,00	
8312000	 0000000256733,00	
8314000	 0000001290935,00	
8315000	 0000009981884,00	
8315100	 0000007797301,00	
8315200	 0000002184583,00	
8317000	 0000033840775,00	
8318000	 0000004109955,00	
8318100	 0000002355059,00	
8318900	 0000001754896,00	
8319000	 0000000006327,00	
8510000	 0000073064051,00	
8511000	 0000001288110,00	
8513000	 0000071775941,00	
8520000	 0000003833379,00	
8521000	 0000000000000,00	
8523000	 0000003833379,00	
8530000	 0000001927777,00	
8531000	 0000000000000,00	
8533000	 0000001927777,00	
8540000	 0000083327163,00	
8543000	 0000017359575,00	
8544000	 0000045415829,00	
8545000	 0000020551759,00	
8560000	 0000005743683,00	
8563000	 0000001697221,00	
8564000	 0000002475384,00	
8565000	 0000001571078,00	
8610000	 0000021557775,00	
8620000	 0000000437807,00	
8630000	 0000000032142,00	
8640000	 0000029222274,00	
8660000	 0000000079780,00	
